#id: 'strand_shift_correlation'
#section_name: 'MERGED LIB: spp strand-shift correlation'
#description: "generated using run_spp.R script from
#              <a href='https://github.com/kundajelab/phantompeakqualtools' target='_blank'>phantompeakqualtools</a>."
#plot_type: 'linegraph'
#anchor: 'strand_shift_correlation'
#pconfig:
#    title: 'Strand-shift correlation plot'
#    ylab: 'Cross-correlation'
#    xlab: 'Strand-shift (bp)'
#    xDecimals: False
#    tt_label: 'Strand-shift (bp) {point.x}: {point.y:.2f} Cross-correlation'
-500 0.213215954011114
-495 0.214965565241868
-490 0.214781749023481
-485 0.213559430399535
-480 0.215183858021956
-475 0.215145444736644
-470 0.214313963793851
-465 0.214164068492892
-460 0.214521028727138
-455 0.21600212177385
-450 0.217103846510244
-445 0.216029250046538
-440 0.21800042336528
-435 0.215700937673032
-430 0.216525285540732
-425 0.218347231163461
-420 0.218124511392115
-415 0.215414042804819
-410 0.218175295686901
-405 0.218316156902698
-400 0.218772596737742
-395 0.222475677780173
-390 0.221131284124164
-385 0.221353669324347
-380 0.22056107792531
-375 0.221577411111429
-370 0.223050717038589
-365 0.223046688391918
-360 0.220892184438111
-355 0.224045256425226
-350 0.223602321656311
-345 0.223119378304609
-340 0.224930893656354
-335 0.22458502438582
-330 0.223435093984536
-325 0.226224891738617
-320 0.227382980527886
-315 0.225646674631867
-310 0.225087396674077
-305 0.225505265107247
-300 0.2259918290033
-295 0.227859985034043
-290 0.228950632886299
-285 0.229634921493891
-280 0.229816644600535
-275 0.228439141465086
-270 0.229728567575362
-265 0.232222997716459
-260 0.23027759906925
-255 0.233270566503631
-250 0.23319616193477
-245 0.234361565390384
-240 0.233559437537829
-235 0.234400212843455
-230 0.232518887498067
-225 0.237832891706003
-220 0.234208664694626
-215 0.236005880211163
-210 0.237050543151789
-205 0.238200812258906
-200 0.23477044658918
-195 0.238813446042315
-190 0.239254216221211
-185 0.239808633177692
-180 0.23905023335353
-175 0.241933250432864
-170 0.241280200506212
-165 0.240447761768464
-160 0.243564883391064
-155 0.243075042740326
-150 0.244502869233334
-145 0.243689879902889
-140 0.246210609261642
-135 0.245879078285341
-130 0.245785132790955
-125 0.247050179343215
-120 0.249213212570993
-115 0.247929407328608
-110 0.251696099186795
-105 0.25275163994941
-100 0.251485311775089
-95 0.249338326820492
-90 0.252440295150336
-85 0.249395145779287
-80 0.256970791182931
-75 0.256138383691566
-70 0.256656071481178
-65 0.257069738055637
-60 0.258250272821277
-55 0.259543166852485
-50 0.261934492553039
-45 0.261938676821616
-40 0.260093642301533
-35 0.263028854298632
-30 0.266367449975854
-25 0.266245166692416
-20 0.270253579888142
-15 0.267533695910795
-10 0.274724248038376
-5 0.27812242725012
0 0.282244046268975
5 0.299023530059902
10 0.334998581431753
15 0.285162323061085
20 0.282272616488594
25 0.27460369179968
30 0.274026322246954
35 0.279465022206237
40 0.310661500319996
45 0.30873142580389
50 0.312617155050677
55 0.307805858143345
60 0.30855019759056
65 0.306233705012133
70 0.302284851750594
75 0.308776680228343
80 0.298529160129249
85 0.299309178633292
90 0.296241777687669
95 0.299658399953692
100 0.295635732300328
105 0.296153562395125
110 0.295526825544054
115 0.293438116852268
120 0.292377368846802
125 0.293031308953386
130 0.290245830152623
135 0.289429274435651
140 0.284708468132556
145 0.282763584307211
150 0.289272081122887
155 0.285351018058154
160 0.281971076394419
165 0.281192936081862
170 0.27879482881161
175 0.279133146050754
180 0.277475511068091
185 0.279348643972588
190 0.277459212676081
195 0.280125083635896
200 0.27789991072085
205 0.278890981469812
210 0.277298000743287
215 0.279924856145576
220 0.27675181318137
225 0.277982228962845
230 0.276480165495122
235 0.27518728668891
240 0.272193972932491
245 0.269857251486439
250 0.268615933445524
255 0.272634958927622
260 0.27003124354405
265 0.269596620651726
270 0.269713193564162
275 0.266958885964242
280 0.267841847671952
285 0.265042536335251
290 0.268849366638462
295 0.266556120456516
300 0.266558081337092
305 0.263679365110865
310 0.268330788879904
315 0.261735736407998
320 0.262965925027185
325 0.259796550208013
330 0.259682773061423
335 0.259801286984093
340 0.260746436920948
345 0.261191962449919
350 0.258608694785
355 0.258567008734273
360 0.257442952084313
365 0.258973127802259
370 0.255903612402151
375 0.258567416598407
380 0.257960730326782
385 0.256885923529462
390 0.256456803380109
395 0.255732806239433
400 0.253960573644603
405 0.252598926771201
410 0.253465452373213
415 0.2517362128478
420 0.248819858143838
425 0.248890122400545
430 0.248977894086194
435 0.249685544606458
440 0.248109471545453
445 0.243867719888238
450 0.246846963464718
455 0.248908277814345
460 0.248144033563161
465 0.245566223628343
470 0.24347302769496
475 0.242734011683543
480 0.24080625873396
485 0.242993965174992
490 0.243175550736891
495 0.243211387243573
500 0.240865730638671
505 0.243431994892543
510 0.241216097985528
515 0.240619699154265
520 0.238495741919133
525 0.23807455035727
530 0.237298469038363
535 0.235034133587743
540 0.238089503429231
545 0.237280011117774
550 0.234488856156355
555 0.234977275032557
560 0.234899001434704
565 0.233998786826836
570 0.234935307071431
575 0.234852836476799
580 0.233209940532547
585 0.227650654371524
590 0.233108435683564
595 0.232106940176255
600 0.233046431864808
605 0.231942370408064
610 0.231495315657984
615 0.228688687600433
620 0.23134257125434
625 0.229534687379301
630 0.230695036870422
635 0.228350660405776
640 0.228148080514885
645 0.227263601471646
650 0.226244264154038
655 0.226138740456141
660 0.224942510126205
665 0.225813790652089
670 0.226910042552584
675 0.22561761129911
680 0.227282652485365
685 0.22689093295501
690 0.225698564148911
695 0.224287721587124
700 0.225667496763497
705 0.224525447278579
710 0.223074091579923
715 0.223885079965316
720 0.222756770640921
725 0.220370391797685
730 0.220655568516913
735 0.220151967088303
740 0.218474654368333
745 0.220685892804589
750 0.219802577262294
755 0.21952568792425
760 0.218159585137383
765 0.218123361048472
770 0.217031493151107
775 0.21735308050327
780 0.216374993627648
785 0.218247793441556
790 0.216589488458104
795 0.216228069446843
800 0.21625858836213
805 0.216844901772389
810 0.215811497540574
815 0.216578644079218
820 0.215068024205419
825 0.216777197608678
830 0.214304579647488
835 0.21604682596759
840 0.215816060696485
845 0.215126081221378
850 0.21541914664834
855 0.214771336182745
860 0.213293751328622
865 0.21300399619455
870 0.214337757329351
875 0.215534042215862
880 0.214924557808341
885 0.212155603318369
890 0.214510136854578
895 0.212314838734869
900 0.213972053533061
905 0.213828150500874
910 0.213155113517488
915 0.212083956539026
920 0.210512672454989
925 0.210927958056174
930 0.208980287403173
935 0.209482031314433
940 0.209855203468981
945 0.210293230502262
950 0.209922834020046
955 0.209379175212182
960 0.21007881776196
965 0.210796180516182
970 0.210591735214447
975 0.211588230949526
980 0.211576199697348
985 0.210836041568371
990 0.211177688225621
995 0.210722595157138
1000 0.210297723691116
1005 0.209770747287724
1010 0.209803114667991
1015 0.21068308876558
1020 0.209682300574172
1025 0.209377543839021
1030 0.209296045409657
1035 0.209040901286355
1040 0.209797635991149
1045 0.20754480945013
1050 0.207950663587655
1055 0.207484826308377
1060 0.207566483295675
1065 0.207614350588174
1070 0.207168339143301
1075 0.207348224659731
1080 0.207183857972541
1085 0.208593743974323
1090 0.207331437837383
1095 0.20634501514078
1100 0.207435952628528
1105 0.20633510490962
1110 0.206898207867096
1115 0.206795621601646
1120 0.206689504691143
1125 0.207335428404016
1130 0.206865062747774
1135 0.207366051267882
1140 0.206707934979288
1145 0.20742739746878
1150 0.20700105535558
1155 0.20647250386664
1160 0.207318864970381
1165 0.205865473277487
1170 0.205436694262135
1175 0.207251137077183
1180 0.206292798686185
1185 0.20578756637788
1190 0.206101325505284
1195 0.206777721866912
1200 0.205665940263679
1205 0.20580405669345
1210 0.205586240829424
1215 0.20485375137012
1220 0.205810023239969
1225 0.205032750440426
1230 0.204858935178624
1235 0.204274320602177
1240 0.205271850998096
1245 0.205096924972607
1250 0.204998034847197
