I	33	709	33,73,89,391	568,650,708,709	SPT5_T0_R2_peak_1,SPT5_T0_R1_peak_1,SPT5_T15_R2_peak_1,SPT5_T15_R1_peak_1	179,77,19,14	.,.,.,.	11.451,5.41486,3.28684,2.65624	21.2963,10.3175,3.75557,3.018	17.9442,7.70841,1.98751,1.40883
I	9532	9775	9532	9775	SPT5_T15_R2_peak_2	12	.	2.74949	2.82012	1.22145
I	20734	21072	20734,20761,20778	21072,21069,21067	SPT5_T15_R2_peak_3,SPT5_T15_R1_peak_2,SPT5_T0_R1_peak_2	20,35,28	.,.,.	3.39152,4.25989,3.90403	3.89371,5.51186,4.75036	2.08863,3.5145,2.81603
I	29104	29985	29104,29191,29800	29980,29970,29985	SPT5_T0_R1_peak_3,SPT5_T0_R2_peak_2,SPT5_T15_R2_peak_4	24,13,18	.,.,.	3.64069,2.91625,3.21634	4.30361,3.06561,3.60083	2.44122,1.35827,1.86129
I	31909	33579	31909,32496,32935,32978	33114,33579,33285,33579	SPT5_T0_R2_peak_3,SPT5_T15_R1_peak_3,SPT5_T0_R1_peak_4,SPT5_T15_R2_peak_5	14,13,17,17	.,.,.,.	2.8904,2.62454,3.01377,2.96049	3.1138,2.89547,3.4956,3.47514	1.43023,1.3037,1.78085,1.76394
I	34294	35060	34294,34470,34477	34847,35060,34975	SPT5_T0_R1_peak_5,SPT5_T15_R2_peak_6,SPT5_T0_R2_peak_4	23,17,16	.,.,.	3.56785,3.10246,3.06817	4.19597,3.41196,3.31747	2.37641,1.71202,1.60097
I	45336	45821	45336,45336,45351,45397	45722,45724,45821,45676	SPT5_T15_R1_peak_4,SPT5_T15_R2_peak_7,SPT5_T0_R2_peak_5,SPT5_T0_R1_peak_6	22,44,47,20	.,.,.,.	3.32646,4.84081,5.05723,3.28587	4.04296,6.68168,6.95054,3.78324	2.27419,4.45813,4.74361,2.00544
I	58195	58534	58195	58534	SPT5_T0_R1_peak_7	12	.	2.66546	2.78636	1.20941
I	67995	68992	67995,68021,68034,68083	68831,68992,68908,68916	SPT5_T0_R2_peak_6,SPT5_T15_R2_peak_8,SPT5_T0_R1_peak_8,SPT5_T15_R1_peak_5	64,52,51,50	.,.,.,.	5.85773,5.18694,5.09762,4.82404	8.80788,7.61907,7.38506,7.26321	6.41079,5.21608,5.12194,5.04771
I	69739	70227	69739	70227	SPT5_T0_R1_peak_9	22	.	3.51991	4.10594	2.29156
I	70939	73210	70939,70948,70956,70956	72611,71336,71545,73210	SPT5_T0_R1_peak_10,SPT5_T15_R1_peak_6,SPT5_T15_R2_peak_9,SPT5_T0_R2_peak_7	41,30,25,46	.,.,.,.	4.60767,3.86116,3.71897,5.03374	6.30901,4.94427,4.49687,6.88823	4.1915,3.03616,2.59088,4.66754
I	75955	76270	75955	76270	SPT5_T15_R2_peak_10	14	.	2.89784	3.05577	1.40937
