PeakID (cmd=annotatePeaks.pl SPT5_T15_R2_peaks.broadPeak genome.fa -gid -gtf genes.gtf -cpu 2)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
SPT5_T15_R2_peak_629	XII	459607	460769	+	1405	NA	TTS (RDN25-2)	rRNA-TTS (RDN25-2)	512	RDN5-1	RDN5-1	RDN5-1			RDN5-1			rRNA
SPT5_T15_R2_peak_682	XII	1071495	1071873	+	93	NA	promoter-TSS (YLR466C-A)	protein_coding-promoter-TSS (YLR466C-A)	26	YLR466C-B	YLR466C-B	YLR466C-B			YLR466C-B			protein_coding
SPT5_T15_R2_peak_731	XIII	510527	511180	+	86	NA	promoter-TSS (YMR121C)	protein_coding-promoter-TSS (YMR121C)	222	YMR122C	YMR122C	YMR122C			YMR122C			protein_coding
SPT5_T15_R2_peak_992	XVI	828617	829573	+	85	NA	promoter-TSS (YPR148C)	protein_coding-promoter-TSS (YPR148C)	-823	YPR149W	YPR149W	YPR149W			NCE102			protein_coding
SPT5_T15_R2_peak_146	IV	465144	465460	+	71	NA	promoter-TSS (YDR010C)	protein_coding-promoter-TSS (YDR010C)	81	YDR010C	YDR010C	YDR010C			YDR010C			protein_coding
SPT5_T15_R2_peak_384	VII	397914	398348	+	70	NA	promoter-TSS (YGL055W)	protein_coding-promoter-TSS (YGL055W)	-497	YGL055W	YGL055W	YGL055W			OLE1			protein_coding
SPT5_T15_R2_peak_704	XIII	225454	225777	+	68	NA	promoter-TSS (YML024W)	protein_coding-promoter-TSS (YML024W)	-250	YML025C	YML025C	YML025C			YML6			protein_coding
SPT5_T15_R2_peak_28	II	167920	168346	+	65	NA	promoter-TSS (YBL027W)	protein_coding-promoter-TSS (YBL027W)	-290	YBL027W	YBL027W	YBL027W			RPL19B			protein_coding
SPT5_T15_R2_peak_958	XVI	431571	432828	+	65	NA	promoter-TSS (YPL061W)	protein_coding-promoter-TSS (YPL061W)	304	YPL062W	YPL062W	YPL062W			YPL062W			protein_coding
SPT5_T15_R2_peak_514	X	294415	295066	+	65	NA	promoter-TSS (YJL076W)	protein_coding-promoter-TSS (YJL076W)	-59	YJL077W-A	YJL077W-A	YJL077W-A			YJL077W-A			protein_coding
SPT5_T15_R2_peak_935	XVI	114319	115708	+	64	NA	promoter-TSS (YPL230W)	protein_coding-promoter-TSS (YPL230W)	-299	YPL230W	YPL230W	YPL230W			USV1			protein_coding
SPT5_T15_R2_peak_281	V	42085	42373	+	63	NA	promoter-TSS (YEL059W)	protein_coding-promoter-TSS (YEL059W)	-276	YEL060C	YEL060C	YEL060C			PRB1			protein_coding
SPT5_T15_R2_peak_918	XV	987375	989571	+	63	NA	exon (YOR348C, exon 1 of 1)	protein_coding-exon (YOR348C, exon 1 of 1)	309	YOR348C	YOR348C	YOR348C			PUT4			protein_coding
SPT5_T15_R2_peak_867	XV	424199	424606	+	62	NA	promoter-TSS (YOR049C)	protein_coding-promoter-TSS (YOR049C)	215	YOR050C	YOR050C	YOR050C			YOR050C			protein_coding
